Scenario,Timestamp,Prediction_Probability,Prediction_Percent,Warning,Actual_Target,Feature,SHAP_Value,Absolute_SHAP,Direction
12,2011-08-19 10:33:43.755079,0.14156976342201233,14.157,1,0,Avg_Duration,0.35194940492510796,0.35194940492510796,toward_warning
12,2011-08-19 10:33:43.755079,0.14156976342201233,14.157,1,0,Avg_Packets_Per_Flow,0.22561805369332433,0.22561805369332433,toward_warning
12,2011-08-19 10:33:43.755079,0.14156976342201233,14.157,1,0,Total_Packets_Change,-0.21198594310408225,0.21198594310408225,away_from_warning
12,2011-08-19 10:33:43.755079,0.14156976342201233,14.157,1,0,Total_Bytes_Change,-0.15490765287540853,0.15490765287540853,away_from_warning
12,2011-08-19 10:33:43.755079,0.14156976342201233,14.157,1,0,Avg_Bytes_Per_Flow,-0.07121971133165061,0.07121971133165061,away_from_warning
12,2011-08-19 10:36:13.765325,0.37971052527427673,37.9711,1,0,Avg_Duration,0.2526728322263807,0.2526728322263807,toward_warning
12,2011-08-19 10:36:13.765325,0.37971052527427673,37.9711,1,0,Avg_Duration_Change,0.13835629250388592,0.13835629250388592,toward_warning
12,2011-08-19 10:36:13.765325,0.37971052527427673,37.9711,1,0,Flow_Count,-0.03694386809365824,0.03694386809365824,away_from_warning
12,2011-08-19 10:36:13.765325,0.37971052527427673,37.9711,1,0,Total_Bytes_Change,0.00174932656227611,0.00174932656227611,toward_warning
12,2011-08-19 10:36:13.765325,0.37971052527427673,37.9711,1,0,Total_Packets,0.012998707694350742,0.012998707694350742,toward_warning
12,2011-08-19 10:38:43.813478,0.6002720594406128,60.0272,1,1,Avg_Duration,0.4401716999709606,0.4401716999709606,toward_warning
12,2011-08-19 10:38:43.813478,0.6002720594406128,60.0272,1,1,Flow_Count,-0.13034647284075618,0.13034647284075618,away_from_warning
12,2011-08-19 10:38:43.813478,0.6002720594406128,60.0272,1,1,Avg_Duration_Change,0.1046474240720272,0.1046474240720272,toward_warning
12,2011-08-19 10:38:43.813478,0.6002720594406128,60.0272,1,1,Avg_Packets_Per_Flow,0.0016940142959356308,0.0016940142959356308,toward_warning
12,2011-08-19 10:38:43.813478,0.6002720594406128,60.0272,1,1,Avg_Bytes_Per_Flow,0.0013362686149775982,0.0013362686149775982,toward_warning
13,2011-08-15 17:17:40.460115,0.25501832365989685,25.5018,1,1,Avg_Duration,0.5143764652311802,0.5143764652311802,toward_warning
13,2011-08-15 17:17:40.460115,0.25501832365989685,25.5018,1,1,Flow_Count,-0.22922163922339678,0.22922163922339678,away_from_warning
13,2011-08-15 17:17:40.460115,0.25501832365989685,25.5018,1,1,Avg_Duration_Change,-0.015808072057552636,0.015808072057552636,away_from_warning
13,2011-08-15 17:17:40.460115,0.25501832365989685,25.5018,1,1,Total_Bytes_Change,0.010401946172351018,0.010401946172351018,toward_warning
13,2011-08-15 17:17:40.460115,0.25501832365989685,25.5018,1,1,Total_Source_Bytes,0.004154996364377439,0.004154996364377439,toward_warning
13,2011-08-15 17:19:10.491257,0.17307384312152863,17.3074,1,1,Avg_Duration,0.3734269803389907,0.3734269803389907,toward_warning
13,2011-08-15 17:19:10.491257,0.17307384312152863,17.3074,1,1,Flow_Count,-0.22092256508767605,0.22092256508767605,away_from_warning
13,2011-08-15 17:19:10.491257,0.17307384312152863,17.3074,1,1,Avg_Duration_Change,0.0034768549958243966,0.0034768549958243966,toward_warning
13,2011-08-15 17:19:10.491257,0.17307384312152863,17.3074,1,1,Avg_Packets_Per_Flow,-0.02163660211954266,0.02163660211954266,away_from_warning
13,2011-08-15 17:19:10.491257,0.17307384312152863,17.3074,1,1,Avg_Bytes_Per_Flow,-0.014470708440057933,0.014470708440057933,away_from_warning
