TimeWindow,Flow_Count,Total_Packets,Total_Bytes,Total_Source_Bytes,Avg_Duration,Avg_Packets_Per_Flow,Avg_Bytes_Per_Flow,Flow_Count_Change,Total_Packets_Change,Total_Bytes_Change,Total_Source_Bytes_Change,Avg_Duration_Change,Attack_Flow_Count,Attack_Ratio
2011-08-10 09:46:30,1654,930731,732586769,694401221,1279.3881594050786,562.7152357920194,442918.2400241838,0.0,0.0,0.0,0.0,0.0,0,0.0
2011-08-10 09:47:00,5339,269530,51031084,26936378,1263.9124931936692,50.483236561153774,9558.172691515265,3685.0,-661201.0,-681555685.0,-667464843.0,-15.475666211409361,0,0.0
2011-08-10 09:47:30,4852,136332,32408625,8371727,1204.5571116799258,28.09810387469085,6679.4363149216815,-487.0,-133198.0,-18622459.0,-18564651.0,-59.355381513743396,0,0.0
2011-08-10 09:48:00,4260,169430,136626056,5393962,1110.5007452500001,39.77230046948357,32071.8441314554,-592.0,33098.0,104217431.0,-2977765.0,-94.05636642992567,0,0.0
2011-08-10 09:48:30,4397,65162,15161246,4350418,1110.312109384353,14.819649761200818,3448.0886968387535,137.0,-104268.0,-121464810.0,-1043544.0,-0.18863586564702928,0,0.0
2011-08-10 09:49:00,4777,57635,17909569,4157885,904.2931793376596,12.065103621519782,3749.124764496546,380.0,-7527.0,2748323.0,-192533.0,-206.01893004669353,0,0.0
2011-08-10 09:49:30,4544,68824,14325547,5415104,940.8564427343752,15.14612676056338,3152.629181338028,-233.0,11189.0,-3584022.0,1257219.0,36.56326339671557,0,0.0
2011-08-10 09:50:00,4562,53625,24433652,2986054,880.0955360773784,11.754712845243315,5355.907935116177,18.0,-15199.0,10108105.0,-2429050.0,-60.76090665699678,0,0.0
2011-08-10 09:50:30,4632,61733,24205991,4735192,914.786807865285,13.327504317789291,5225.818436960276,70.0,8108.0,-227661.0,1749138.0,34.69127178790666,0,0.0
2011-08-10 09:51:00,4286,60196,20070234,4287111,960.8129167109192,14.044797013532431,4682.742417172189,-346.0,-1537.0,-4135757.0,-448081.0,46.02610884563421,0,0.0
2011-08-10 09:51:30,4163,55313,30511709,3214215,876.6561158849387,13.28681239490752,7329.259908719673,-123.0,-4883.0,10441475.0,-1072896.0,-84.15680082598055,0,0.0
2011-08-10 09:52:00,4875,45105,14193639,3401477,843.3215885448205,9.252307692307692,2911.5156923076925,712.0,-10208.0,-16318070.0,187262.0,-33.33452734011814,0,0.0
2011-08-10 09:52:30,4649,179719,162030520,6266261,866.1427225818455,38.657560765756074,34852.76833727684,-226.0,134614.0,147836881.0,2864784.0,22.82113403702499,0,0.0
2011-08-10 09:53:00,4116,41575,18894435,3382912,870.5111932417395,10.100826044703595,4590.484693877551,-533.0,-138144.0,-143136085.0,-2883349.0,4.368470659894001,0,0.0
