Scenario,Timestamp,Flow_Count,Total_Packets,Total_Bytes,Total_Source_Bytes,Avg_Duration,Avg_Packets_Per_Flow,Avg_Bytes_Per_Flow,Flow_Count_Change,Total_Packets_Change,Total_Bytes_Change,Total_Source_Bytes_Change,Avg_Duration_Change,Attack_Flow_Count,Attack_State,Target_Early_Warning
1,2011-08-10 09:46:53.047277,5886,1161975.0,776712271.0,718127093.0,1266.7665442674142,197.41335372069318,131959.27132178048,0.0,0.0,0.0,0.0,0.0,0,0,0
1,2011-08-10 09:47:23.048953,4903,152172.0,35765763.0,10017880.0,1166.9388019749133,31.036508260248826,7294.669182133388,-983.0,-1009803.0,-740946508.0,-708109213.0,-99.82774229250094,0,0,0
1,2011-08-10 09:47:53.059501,4266,79274.0,13815863.0,4975252.0,1218.2295638638068,18.58274730426629,3238.5989217065166,-637.0,-72898.0,-21949900.0,-5042628.0,51.290761888893485,0,0,0
1,2011-08-10 09:48:23.049021,4470,164607.0,135669293.0,5555165.0,1105.6214932843402,36.8248322147651,30351.07225950783,204.0,85333.0,121853430.0,579913.0,-112.60807057946658,0,0,0
1,2011-08-10 09:48:53.047313,4604,59095.0,20018596.0,3962471.0,914.2338071494353,12.835577758470896,4348.087749782798,134.0,-105512.0,-115650697.0,-1592694.0,-191.38768613490492,0,0,0
1,2011-08-10 09:49:23.057275,4646,43867.0,12915485.0,3315361.0,925.4259812557038,9.441885492897116,2779.9149806284977,42.0,-15228.0,-7103111.0,-647110.0,11.192174106268567,0,0,0
1,2011-08-10 09:49:53.101863,4580,79232.0,25792218.0,5368985.0,924.7253501543668,17.29956331877729,5631.48864628821,-66.0,35365.0,12876733.0,2053624.0,-0.7006311013370805,0,0,0
1,2011-08-10 09:50:23.055359,4510,62225.0,25065580.0,4671152.0,868.2276999984479,13.797117516629712,5557.778270509978,-70.0,-17007.0,-726638.0,-697833.0,-56.497650155918905,0,0,0
1,2011-08-10 09:50:53.055934,4566,64239.0,21323228.0,4505121.0,976.27398539159,14.06898817345598,4670.001752080596,56.0,2014.0,-3742352.0,-166031.0,108.04628539314217,0,0,0
1,2011-08-10 09:51:23.058368,4103,54437.0,29524764.0,3305766.0,898.5542061133317,13.26760906653668,7195.896660979771,-463.0,-9802.0,8201536.0,-1199355.0,-77.71977927825833,0,0,0
1,2011-08-10 09:51:53.048034,4803,42403.0,12683222.0,3124137.0,848.10401422132,8.828440557984592,2640.6874869872995,700.0,-12034.0,-16841542.0,-181629.0,-50.45019189201173,0,0,0
1,2011-08-10 09:52:23.053904,4434,172122.0,154824482.0,5710146.0,894.4773929709066,38.81867388362652,34917.56472710871,-369.0,129719.0,142141260.0,2586009.0,46.373378749586664,0,0,0
1,2011-08-10 09:52:53.052430,4426,52538.0,28106918.0,3388677.0,848.5938862568911,11.870311793944872,6350.410754631722,-8.0,-119584.0,-126717564.0,-2321469.0,-45.88350671401554,0,0,0
1,2011-08-10 09:53:23.051106,4284,32978.0,9747108.0,3412966.0,843.7509863765173,7.697945845004669,2275.235294117647,-142.0,-19560.0,-18359810.0,24289.0,-4.842899880373807,0,0,0
1,2011-08-10 09:53:53.048878,4123,36520.0,11294536.0,2613592.0,859.1180261084162,8.85762794081979,2739.3975260732477,-161.0,3542.0,1547428.0,-799374.0,15.367039731898899,0,0,0
1,2011-08-10 09:54:23.053635,4194,1041377.0,880544952.0,28458066.0,872.6207952682403,248.30162136385312,209953.49356223177,71.0,1004857.0,869250416.0,25844474.0,13.502769159824084,0,0,0
1,2011-08-10 09:54:53.071763,4374,49483.0,21812349.0,7355127.0,871.2644932432555,11.312985825331504,4986.819615912208,180.0,-991894.0,-858732603.0,-21102939.0,-1.3563020249847568,0,0,0
1,2011-08-10 09:55:23.062914,4139,59141.0,37271356.0,5138640.0,842.9651159449143,14.288717081420632,9004.918096158492,-235.0,9658.0,15459007.0,-2216487.0,-28.299377298341255,0,0,0
