Scenario,Timestamp,Flow_Count,Total_Packets,Total_Bytes,Total_Source_Bytes,Avg_Duration,Avg_Packets_Per_Flow,Avg_Bytes_Per_Flow,Flow_Count_Change,Total_Packets_Change,Total_Bytes_Change,Total_Source_Bytes_Change,Avg_Duration_Change,Attack_Flow_Count,Attack_State,Target_Early_Warning,Flow_Count_Prev,Flow_Count_RollMean5,Flow_Count_RollStd5,Total_Packets_Prev,Total_Packets_RollMean5,Total_Packets_RollStd5,Total_Bytes_Prev,Total_Bytes_RollMean5,Total_Bytes_RollStd5,Total_Source_Bytes_Prev,Total_Source_Bytes_RollMean5,Total_Source_Bytes_RollStd5,Avg_Duration_Prev,Avg_Duration_RollMean5,Avg_Duration_RollStd5,Avg_Packets_Per_Flow_Prev,Avg_Packets_Per_Flow_RollMean5,Avg_Packets_Per_Flow_RollStd5,Avg_Bytes_Per_Flow_Prev,Avg_Bytes_Per_Flow_RollMean5,Avg_Bytes_Per_Flow_RollStd5,Flow_Count_Ratio5,Flow_Count_Z5,Total_Packets_Ratio5,Total_Packets_Z5,Total_Bytes_Ratio5,Total_Bytes_Z5,Total_Source_Bytes_Ratio5,Total_Source_Bytes_Z5,Avg_Duration_Ratio5,Avg_Duration_Z5,Avg_Packets_Per_Flow_Ratio5,Avg_Packets_Per_Flow_Z5,Avg_Bytes_Per_Flow_Ratio5,Avg_Bytes_Per_Flow_Z5
1,2011-08-10 09:46:53.047277,5886,1161975.0,776712271.0,718127093.0,1266.7665442674142,197.4133537206932,131959.27132178048,0.0,0.0,0.0,0.0,0.0,0,0,0,5886.0,5886.0,5886.0,1161975.0,1161975.0,1161975.0,776712271.0,776712271.0,776712271.0,718127093.0,718127093.0,718127093.0,1266.7665442674142,1266.7665442674142,1266.7665442674142,197.4133537206932,197.4133537206932,197.4133537206932,131959.27132178048,131959.27132178048,131959.27132178048,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
1,2011-08-10 09:47:23.048953,4903,152172.0,35765763.0,10017880.0,1166.9388019749133,31.036508260248823,7294.669182133388,-983.0,-1009803.0,-740946508.0,-708109213.0,-99.82774229250094,0,0,0,5886.0,4903.0,4903.0,1161975.0,152172.0,152172.0,776712271.0,35765763.0,35765763.0,718127093.0,10017880.0,10017880.0,1266.7665442674142,1166.9388019749133,1166.9388019749133,197.4133537206932,31.036508260248823,31.036508260248823,131959.27132178048,7294.669182133388,7294.669182133388,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
1,2011-08-10 09:47:53.059501,4266,79274.0,13815863.0,4975252.0,1218.2295638638068,18.58274730426629,3238.5989217065166,-637.0,-72898.0,-21949900.0,-5042628.0,51.290761888893485,0,0,0,4903.0,5394.5,695.0859659063763,152172.0,657073.5,714038.5489625193,35765763.0,406239017.0,523928300.30329245,10017880.0,364072486.5,500708826.33296937,1166.9388019749133,1216.8526731211637,70.58887352557043,31.036508260248823,114.22493099047102,117.64619565750648,7294.669182133388,69626.97025195694,88151.18554686745,0.790805449995219,-1.6235401883374787,0.12064708133869327,-0.8091993084120288,0.03400919759511923,-0.7490016358590164,0.013665553384243443,-0.7171777600365322,1.0011315180317684,0.019505775823506377,0.1626855638516764,-0.8129645259743616,0.04651356952610538,-0.7531194381379349
1,2011-08-10 09:48:23.049021,4470,164607.0,135669293.0,5555165.0,1105.6214932843402,36.8248322147651,30351.07225950783,204.0,85333.0,121853430.0,579913.0,-112.60807057946658,0,0,0,4266.0,5018.333333333333,816.1349970031509,79274.0,464473.6666666667,605152.5527520588,13815863.0,275431299.0,434260761.74857324,4975252.0,244373408.33333334,410290473.1110865,1218.2295638638068,1217.3116367020448,49.920201076420106,18.58274730426629,82.34420309506943,99.84716375423018,3238.5989217065166,47497.51314187347,73174.13732064217,0.8907339754232698,-0.6718659723527873,0.3543946876069752,-0.49552243529827195,0.4925703559928387,-0.3218389002894047,0.02273228105253814,-0.5820711398011748,0.9082485207147077,-2.2373736685172174,0.4472061278169425,-0.45589047468481486,0.6390033972694437,-0.23432378583749222
1,2011-08-10 09:48:53.047313,4604,59095.0,20018596.0,3962471.0,914.2338071494352,12.835577758470896,4348.087749782798,134.0,-105512.0,-115650697.0,-1592694.0,-191.38768613490487,0,0,0,4470.0,4881.25,720.5680051181844,164607.0,389507.0,516352.34660646215,135669293.0,240490797.5,361393083.37310505,5555165.0,184668847.5,355645966.1250463,1105.6214932843402,1189.3891008476187,69.13771053369018,36.8248322147651,70.96436037499336,84.64223150715435,30351.07225950783,43210.90292128205,60358.39922617713,0.9432010243275916,-0.3847659041621504,0.15171742741465455,-0.6398963850392314,0.08324059052613021,-0.6100620394895128,0.021457170787834153,-0.5081074824744758,0.7686583023983803,-3.9798149457107495,0.18087357781375935,-0.6867586260520836,0.10062478346503599,-0.6438675589435449
1,2011-08-10 09:49:23.057275,4646,43867.0,12915485.0,3315361.0,925.4259812557038,9.441885492897116,2779.9149806284977,42.0,-15228.0,-7103111.0,-647110.0,11.192174106268569,0,0,0,4604.0,4825.8,636.2288896301393,59095.0,323424.6,470955.65325548436,20018596.0,196396357.2,328139176.05079,3962471.0,148527572.2,318424243.45095825,914.2338071494352,1134.3580421079819,136.84701090417346,12.835577758470896,59.338603851688866,77.77545621581926,4348.087749782798,35438.339886982205,55085.533023387885,0.9627419287991704,-0.28260269681284234,0.13563284920194651,-0.5935964417616721,0.06576234500545003,-0.559155643676025,0.022321518832447464,-0.45603377942033074,0.8158147136112028,-1.5267564813458372,0.15911876720822557,-0.6415483853889806,0.07844371348923102,-0.5928675482269945
1,2011-08-10 09:49:53.101863,4580,79232.0,25792218.0,5368985.0,924.7253501543668,17.29956331877729,5631.48864628821,-66.0,35365.0,12876733.0,2053624.0,-0.7006311013370805,0,0,0,4646.0,4577.8,234.4849675352344,43867.0,99803.0,55112.35745728873,12915485.0,43637000.0,52256195.87695616,3315361.0,5565225.8,2636523.0084534064,925.4259812557038,1066.08992950564,139.3972167854089,9.441885492897116,21.744310206129647,11.773675470738514,2779.9149806284977,9602.468618751805,11731.209286163516,1.0004805801911396,0.009382264556724121,0.793883951384219,-0.37325567166931395,0.5910630428306254,-0.3414864342980075,0.9647380345286258,-0.07443166601269878,0.8673990106841238,-1.014113356135932,0.79559034772715,-0.3775156617847595,0.5864625930971948,-0.3384970701312836
1,2011-08-10 09:50:23.055359,4510,62225.0,25065580.0,4671152.0,868.2276999984479,13.797117516629712,5557.778270509978,-70.0,-17007.0,-726638.0,-697833.0,-56.497650155918905,0,0,0,4580.0,4513.2,152.73899305678285,79232.0,85215.0,46813.70776279067,25792218.0,41642291.0,52819091.20494973,5368985.0,4635446.8,961112.6857734737,924.7253501543668,1017.6472391415306,137.66473237393342,17.29956331877729,18.99692121783534,10.60834383058599,5631.48864628821,9269.83251158277,11836.116287302228,0.999290968713773,-0.0209507731846132,0.7302118171683303,-0.49109547392596925,0.6019260563737956,-0.3138393831063602,1.007702644759077,0.037149858209670504,0.853171577146926,-1.0853872053165714,0.7262817673292211,-0.4901616862872964,0.5995554141420425,-0.3136209674667328
1,2011-08-10 09:50:53.055934,4566,64239.0,21323228.0,4505121.0,976.27398539159,14.06898817345598,4670.001752080596,56.0,2014.0,-3742352.0,-166031.0,108.04628539314216,0,0,0,4510.0,4562.0,71.26008700527929,62225.0,81805.2,47961.452951302126,25065580.0,43892234.4,51562078.14055187,4671152.0,4574626.8,943697.8203295269,868.2276999984479,947.6468663684587,91.37694307542839,13.797117516629712,18.039795260308022,10.867771198815966,5557.778270509978,9733.668381343463,11583.419665288786,1.0008768084171413,0.056132404099471955,0.7852679291780866,-0.3662566273343627,0.48580866960830776,-0.4377055233980226,0.9848062359972183,-0.07365260203285118,1.0302086357672504,0.3132860222647998,0.7798862442541862,-0.36537455692104415,0.479778185276079,-0.43714781779307893
1,2011-08-10 09:51:23.058368,4103,54437.0,29524764.0,3305766.0,898.5542061133317,13.26760906653668,7195.896660979771,-463.0,-9802.0,8201536.0,-1199355.0,-77.71977927825833,0,0,0,4566.0,4581.2,50.05197298808483,64239.0,61731.6,12638.137631786038,21323228.0,21023021.4,5145839.511393463,4505121.0,4364618.0,772191.6404892635,976.27398539159,921.7773647899087,38.45892789060783,14.06898817345598,13.4886264520462,2.8177034644127827,4670.001752080596,4597.454279858016,1157.8368995965445,0.8956168689424395,-9.554068929596125,0.8818336151986846,-0.5771894730480585,1.4044015576181643,1.6521585216904244,0.757400991335324,-1.3712295555661624,0.9748061087583282,-0.6038431113324025,0.9836145372341002,-0.07843883794817316,1.5651915653635249,2.2442214287910103
